,adam,adams,air,aloha,alright,away,backlash,bacon,boy,cancer,capacity,card,care,career,checklist,classmate,climb,cocacola,comfort,conan,conscience,constant,construction,contradiction,crack,cub,decisions,deprive,diminish,duty,ethics,existence,fake,fewer,flip,fruiti,fun,georgia,grandmother,grief,grow,human,iii,inflation,inmates,instead,kid,lesson,likely,line,marshall,materials,mean,members,mention,methodical,milwaukee,minutes,mountain,news,northeastern,objectives,overly,palestinians,paradigm,paradoxically,paris,pass,pat,piano,pigeon,popular,possibility,potential,price,proclaim,provide,purpose,recommend,remarkable,reproduction,responses,retire,revolution,ring,rockstar,selfconfidence,short,silver,small,sniff,solipsism,solve,soul,space,sunbeam,suppose,swallow,teach,teachers,theyd,time,transcript,ultimately,uniform,unless,ut,webbys,wonderful,writers,yeah
adam,0.0,5.1,1.4,0.0,0.0,3.5,0.0,0.0,0.2,1.1,0.4,1.9,1.9,23.1,0.6,0.1,0.3,0.0,0.7,0.0,0.1,0.0,0.0,2.5,0.9,0.0,0.2,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,4.0,0.1,1.1,0.3,2.5,4.0,0.2,0.0,0.0,1.8,2.5,2.6,0.2,1.3,0.0,0.1,10.6,0.5,3.0,0.0,0.0,3.5,2.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.4,0.0,0.4,0.0,0.5,0.0,2.2,0.6,0.0,2.7,0.6,0.6,0.0,0.2,0.1,0.1,0.0,0.9,0.0,0.0,1.1,0.1,1.6,0.0,0.0,1.0,3.0,0.2,0.0,4.1,0.1,6.6,0.7,0.0,33.0,0.0,0.1,0.0,0.5,0.1,0.0,1.0,0.1,0.2
adams,5.1,0.0,1.7,0.0,0.5,3.1,0.0,0.2,1.2,0.5,9.1,0.1,3.0,5.5,0.0,0.0,0.4,0.0,1.6,0.1,0.6,0.0,0.1,0.2,0.1,0.0,0.5,0.0,0.5,0.8,2.1,0.7,0.0,0.1,0.0,0.1,0.5,3.6,0.0,0.0,1.7,4.6,0.0,0.0,0.3,1.8,1.4,0.9,0.1,1.6,0.3,0.2,7.4,3.3,0.9,0.0,0.0,3.9,0.5,1.1,0.0,0.0,0.0,0.0,1.1,0.2,0.9,1.1,0.1,0.5,0.0,0.3,0.0,0.0,0.6,0.1,1.6,1.7,0.0,0.4,0.0,0.4,0.1,2.0,0.2,0.0,0.1,1.8,0.0,1.5,0.0,0.0,0.0,0.3,0.8,0.0,1.5,0.0,4.3,2.1,0.5,28.4,0.2,0.8,0.7,0.6,0.0,0.0,0.9,1.5,0.5
air,1.4,1.7,0.0,0.0,0.1,16.1,0.0,0.5,4.5,10.1,3.3,2.6,8.7,16.5,0.7,0.2,4.5,1.4,2.4,0.7,1.3,0.9,1.5,0.0,2.1,0.0,5.5,0.5,0.3,3.0,0.2,1.9,0.2,1.1,0.9,0.1,3.6,3.7,2.0,1.7,17.8,19.8,0.0,0.1,0.0,6.9,12.7,6.1,3.3,9.3,0.3,0.6,33.1,6.1,7.4,0.0,0.0,8.1,2.7,9.1,3.0,0.2,0.3,0.0,0.7,0.2,1.8,7.9,0.0,2.5,0.0,0.7,1.3,3.4,1.1,0.4,3.7,6.9,0.4,0.8,0.0,0.3,2.6,3.5,2.8,0.0,0.2,7.2,2.2,14.5,0.2,0.0,3.3,14.5,7.4,0.0,4.9,0.5,19.8,4.4,2.6,83.6,0.9,1.8,1.0,1.8,0.4,0.0,10.4,1.3,2.8
aloha,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alright,0.0,0.5,0.1,0.0,0.0,2.6,0.0,0.1,0.5,0.6,0.4,0.0,3.1,4.2,0.0,0.0,0.1,0.0,0.2,0.2,0.4,0.8,0.4,0.0,1.2,1.1,1.5,0.0,0.2,0.2,0.0,0.3,0.2,0.0,0.4,0.0,2.8,0.0,0.0,0.0,3.1,2.8,0.0,0.0,0.0,2.2,7.3,0.9,0.4,7.1,0.1,0.0,16.0,1.2,0.1,0.0,0.0,4.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,5.1,0.1,0.0,0.0,0.0,0.5,0.1,1.0,0.0,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.1,1.5,0.0,0.0,2.3,0.8,0.8,0.0,0.0,1.1,1.8,0.6,0.0,0.5,0.2,1.4,0.9,0.0,42.1,0.1,0.2,0.2,0.9,0.0,0.0,0.8,0.1,6.0
away,3.5,3.1,16.1,0.1,2.6,0.0,1.1,5.1,15.6,11.5,14.0,6.1,40.1,53.7,0.8,0.6,8.8,0.1,9.6,2.7,3.5,7.6,0.7,2.1,4.6,7.0,10.0,2.2,1.5,4.2,3.6,7.4,1.6,4.9,2.7,0.3,14.0,0.7,3.1,5.3,55.2,63.4,0.7,0.6,0.4,31.6,66.9,19.0,16.7,35.9,3.9,2.7,114.7,21.6,11.4,0.0,1.0,19.3,9.6,22.5,5.2,0.6,0.2,0.0,1.7,1.3,4.1,35.6,1.0,7.8,3.2,7.7,7.7,11.3,3.3,1.8,11.6,36.6,4.2,5.2,2.1,1.5,7.2,7.8,11.6,0.3,6.5,23.5,4.0,44.2,0.2,0.0,12.1,23.6,19.0,0.0,24.3,1.3,65.7,13.1,6.2,342.1,2.8,5.5,7.9,13.9,3.0,2.1,26.5,8.2,11.1
backlash,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.5,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.8,0.0,0.0,2.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.6,0.0,3.7,0.1,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0
bacon,0.0,0.2,0.5,0.0,0.1,5.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.4,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.3,0.0,1.0,2.3,0.0,0.4,0.0,0.0,0.6,0.7,1.3,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.5,0.0,0.0,1.6,0.0,0.1,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,1.7,0.0,0.0,0.0,0.4,0.9,0.0,0.0,0.0,2.2,0.0,0.0,6.9,0.1,0.2,0.0,0.3,0.0,0.0,0.7,0.2,0.1
boy,0.2,1.2,4.5,0.0,0.5,15.6,0.0,0.0,0.0,2.2,6.0,1.0,10.2,10.7,0.0,0.4,2.3,0.0,3.2,0.1,0.0,0.3,0.0,0.0,1.3,0.0,2.1,0.1,0.1,1.2,0.6,3.4,0.1,0.8,1.2,0.2,3.2,0.5,2.4,0.3,12.7,16.6,0.1,0.2,0.1,6.7,25.7,5.7,3.2,7.9,0.8,0.6,33.6,4.5,3.9,0.0,0.8,6.8,1.1,5.9,0.8,0.1,0.1,0.2,0.2,0.1,0.9,11.3,0.0,0.9,0.0,1.4,1.3,1.7,2.6,0.2,4.3,3.8,0.4,1.9,0.1,0.3,2.3,1.5,1.3,0.0,0.1,8.4,0.7,10.7,0.2,0.0,2.1,2.1,6.4,0.0,5.6,0.0,19.0,7.9,2.2,83.6,0.3,2.5,0.8,3.0,0.0,0.0,8.3,2.2,3.3
cancer,1.1,0.5,10.1,0.0,0.6,11.5,0.5,0.0,2.2,0.0,3.7,15.9,20.8,10.3,0.0,0.0,4.5,0.0,1.7,0.3,0.4,2.7,0.1,0.0,0.2,1.1,8.1,0.0,0.1,0.8,0.0,1.0,0.2,0.4,0.0,0.0,1.7,0.0,0.9,0.2,11.8,22.0,0.0,0.0,0.0,5.4,17.2,10.1,6.1,8.6,0.6,0.4,28.3,11.4,2.1,0.0,0.0,4.3,0.3,10.9,0.8,0.0,0.4,0.0,0.0,0.5,0.7,4.3,0.9,0.5,0.0,0.2,1.8,1.5,0.5,0.1,3.4,9.4,1.0,0.8,0.0,0.7,0.1,2.1,0.5,0.0,0.0,3.8,1.4,26.0,0.0,0.0,3.4,3.5,7.4,0.0,4.8,0.1,8.1,1.6,0.1,76.9,0.0,0.6,0.6,1.4,0.0,1.4,9.6,0.9,0.5
capacity,0.4,9.1,3.3,0.0,0.4,14.0,0.2,0.2,6.0,3.7,0.0,0.0,7.0,19.7,0.5,0.0,2.7,0.9,4.5,0.0,1.4,1.5,0.9,0.1,0.2,0.0,2.2,0.4,0.5,2.2,0.5,3.3,0.1,1.0,0.2,0.0,3.9,0.9,0.3,0.1,10.7,25.4,0.0,2.2,0.0,5.3,3.7,4.3,3.9,8.1,0.1,1.1,29.1,8.7,2.7,0.0,0.0,3.9,0.5,4.6,2.4,1.5,0.0,0.1,1.4,0.2,1.4,5.7,0.1,0.7,0.0,0.8,1.9,2.9,3.0,0.5,4.2,7.9,0.8,0.8,0.0,2.2,0.4,1.8,1.0,0.0,0.3,9.9,0.7,7.4,0.1,0.0,3.1,1.9,6.6,0.0,3.2,0.3,13.7,12.4,0.7,99.9,0.2,6.9,0.1,1.7,0.0,0.0,5.6,2.9,0.3
card,1.9,0.1,2.6,0.0,0.0,6.1,0.0,0.0,1.0,15.9,0.0,0.0,8.1,4.9,0.0,0.0,1.2,0.0,1.2,0.4,0.2,0.7,0.0,0.0,0.2,0.0,4.2,0.1,0.1,0.2,0.0,0.8,0.0,0.5,0.9,0.0,3.2,0.0,0.3,0.2,7.4,8.3,0.0,0.0,0.0,3.5,6.7,3.1,2.2,4.7,0.2,0.0,14.7,3.2,0.3,0.0,0.0,2.8,0.5,5.3,0.0,0.0,0.0,0.0,0.1,0.0,0.6,3.0,0.1,0.6,0.0,0.5,0.0,3.4,0.2,0.0,1.6,3.8,0.2,1.5,0.0,0.0,0.6,0.8,0.8,0.0,0.2,3.6,0.2,8.7,0.0,0.0,2.1,1.9,1.5,0.0,4.8,0.0,6.6,3.1,0.7,47.9,0.1,0.5,0.2,0.2,0.0,1.4,4.6,1.3,0.8
care,1.9,3.0,8.7,0.0,3.1,40.1,0.5,0.0,10.2,20.8,7.0,8.1,0.0,51.5,0.0,0.9,6.8,0.0,4.4,1.2,6.3,4.1,0.2,0.3,2.8,0.1,8.7,2.8,1.0,3.2,3.5,3.6,1.2,2.8,1.9,0.0,10.7,1.1,2.6,1.4,39.2,57.4,0.2,1.7,0.1,23.6,54.8,20.1,13.4,29.7,4.2,2.0,102.9,22.7,6.9,0.0,0.1,16.3,1.9,19.6,3.6,0.0,0.3,0.8,0.7,0.9,1.4,31.0,1.4,2.7,0.0,14.8,5.8,13.8,7.6,1.2,18.9,44.4,2.9,7.1,0.3,1.3,3.5,7.2,6.0,0.0,1.2,17.7,4.8,35.4,0.2,0.0,13.0,10.1,9.1,0.0,18.0,1.7,52.0,16.0,5.4,258.8,1.6,4.4,1.1,7.9,0.9,1.4,31.3,4.2,10.6
career,23.1,5.5,16.5,0.1,4.2,53.7,0.5,0.5,10.7,10.3,19.7,4.9,51.5,0.0,0.4,1.4,6.6,0.0,7.9,5.4,1.8,4.2,1.8,2.1,3.6,7.3,15.7,0.4,0.8,4.4,1.0,3.7,2.8,4.3,4.4,0.0,18.1,1.2,4.5,2.4,66.0,41.7,0.2,3.4,0.1,25.4,59.8,23.7,14.3,38.9,2.2,2.2,124.5,32.5,13.4,1.5,0.7,22.9,8.7,21.0,4.8,0.8,0.6,0.4,1.7,0.1,2.1,33.5,0.8,3.7,0.8,4.9,7.9,17.1,7.6,0.2,23.1,34.2,2.6,5.8,0.1,1.0,8.6,6.5,6.9,0.0,17.2,24.4,1.3,42.4,0.6,0.0,12.3,14.5,12.7,0.0,19.1,2.7,82.2,18.8,5.1,377.8,2.7,13.7,3.0,12.6,2.3,0.7,26.4,5.8,11.5
checklist,0.6,0.0,0.7,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.9,0.0,0.0,0.0,0.1,1.4,0.3,0.1,0.1,0.0,0.0,2.2,0.3,0.2,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.2,0.0,2.3,0.0,0.2,0.0,0.0,10.1,0.0,0.1,0.0,0.2,0.0,0.0,1.1,0.0,1.2
classmate,0.1,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.9,1.4,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.9,0.5,0.0,0.0,0.0,1.3,1.3,0.2,0.2,0.5,0.0,0.0,3.7,0.5,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.4,0.0,0.1,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.4,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.8,0.2,0.6,0.0,0.0,0.3,0.3,0.0,0.0,0.7,0.0,0.9,0.7,0.1,10.3,0.1,0.6,0.0,0.1,0.0,0.0,0.5,0.2,0.0
climb,0.3,0.4,4.5,0.0,0.1,8.8,0.0,0.0,2.3,4.5,2.7,1.2,6.8,6.6,0.2,0.0,0.0,0.0,2.5,0.4,0.4,0.9,0.3,0.0,0.6,0.1,2.0,0.6,0.4,0.2,0.6,1.9,0.0,1.2,0.6,0.0,2.0,0.3,0.2,0.8,16.4,11.4,0.0,0.3,0.1,6.9,7.2,1.3,4.0,4.6,0.1,0.6,14.9,3.1,1.3,0.0,1.4,1.5,24.4,2.9,1.6,0.3,0.1,0.4,0.0,0.0,1.0,12.0,0.0,0.1,0.0,1.6,1.1,2.3,1.5,0.3,3.3,2.7,0.6,0.5,0.0,0.2,0.5,3.1,1.5,0.0,0.4,5.6,0.1,14.1,0.2,0.0,2.3,2.2,7.9,0.0,2.7,0.4,9.5,2.2,0.4,79.6,0.4,0.6,1.1,2.8,0.3,0.7,2.6,1.3,0.6
cocacola,0.0,0.0,1.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.8,2.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,2.1,0.1,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,0.0,0.1,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.8,0.0,2.4,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0
comfort,0.7,1.6,2.4,0.0,0.2,9.6,0.0,0.0,3.2,1.7,4.5,1.2,4.4,7.9,0.0,0.2,2.5,0.0,0.0,0.3,1.3,1.1,0.6,0.0,0.0,0.1,2.1,0.2,1.4,1.2,0.1,3.5,0.2,1.9,0.5,0.0,2.1,0.7,0.4,0.8,9.5,12.4,0.1,2.0,0.0,5.1,10.2,3.6,3.8,5.4,0.1,1.7,22.5,3.0,2.2,0.0,0.0,3.4,0.7,3.9,0.0,1.6,0.1,0.0,0.2,0.1,0.6,6.3,0.1,0.7,0.0,2.1,0.9,1.7,2.1,0.2,3.9,5.8,0.9,0.9,1.0,0.3,0.4,0.8,1.4,0.3,0.9,4.3,1.0,6.6,0.0,0.0,1.7,7.5,2.8,0.0,3.6,0.2,10.9,3.4,0.1,56.8,0.3,1.7,1.1,1.9,0.7,0.0,3.5,1.0,1.5
conan,0.0,0.1,0.7,0.0,0.2,2.7,0.0,0.0,0.1,0.3,0.0,0.4,1.2,5.4,0.0,0.7,0.4,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.2,3.0,1.2,0.0,1.8,0.0,0.0,7.6,1.0,1.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,1.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3,0.0,2.7,0.0,0.0,0.0,0.1,0.2,0.0,1.0,0.0,0.8,0.7,1.0,17.0,0.5,1.4,0.0,0.3,0.0,0.0,2.6,1.1,2.8
conscience,0.1,0.6,1.3,0.0,0.4,3.5,0.0,0.0,0.0,0.4,1.4,0.2,6.3,1.8,0.0,0.0,0.4,0.3,1.3,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.5,1.0,0.8,4.2,0.7,1.3,0.0,0.2,0.1,0.0,0.1,0.1,0.2,0.1,3.8,17.8,0.0,0.0,0.0,3.0,2.8,1.5,1.4,1.5,0.4,0.1,10.9,2.2,1.3,0.0,0.0,0.6,0.3,0.7,0.0,0.4,0.5,0.0,0.0,0.1,0.2,2.7,0.0,0.5,0.0,0.2,0.7,0.7,1.3,0.1,2.6,3.7,0.2,0.4,0.0,0.1,0.2,0.8,1.1,0.0,0.4,2.6,0.1,3.4,0.0,0.0,0.3,9.0,1.4,0.0,0.4,0.1,5.1,0.9,0.5,17.0,0.0,1.6,0.1,0.6,0.0,0.0,2.6,0.3,0.0
constant,0.0,0.0,0.9,0.0,0.8,7.6,0.0,0.0,0.3,2.7,1.5,0.7,4.1,4.2,0.0,0.0,0.9,0.2,1.1,0.1,0.8,0.0,0.2,0.7,0.3,0.0,2.4,0.5,0.2,0.9,0.0,1.6,0.3,0.9,0.2,0.0,1.0,0.0,2.1,0.3,6.6,15.6,0.0,0.3,0.0,6.1,3.6,2.3,1.0,7.4,1.3,0.0,18.9,2.3,1.3,0.0,0.0,1.3,0.4,2.3,0.0,0.3,0.0,0.0,0.0,0.1,0.1,2.6,0.0,0.0,0.0,0.5,0.7,0.8,0.7,1.0,2.4,2.2,0.6,0.5,0.1,0.0,0.0,1.3,2.8,0.0,0.1,2.9,0.4,7.0,0.0,0.0,1.1,1.6,2.2,0.0,1.6,0.0,5.6,1.2,0.4,34.6,0.2,1.1,1.9,0.8,1.0,0.0,1.6,1.0,0.5
construction,0.0,0.1,1.5,0.0,0.4,0.7,0.0,0.0,0.0,0.1,0.9,0.0,0.2,1.8,0.0,0.0,0.3,0.0,0.6,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,1.4,6.9,0.0,0.0,6.0,1.1,0.0,0.3,1.3,2.3,0.2,1.0,3.7,0.4,0.2,0.5,0.0,0.2,0.1,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,0.0,0.0,0.1,0.7,0.2,0.0,1.9,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,1.3,0.5,1.3,0.0,0.0,1.7,6.4,0.5,0.0,0.1,0.0,1.4,0.1,0.0,7.4,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.2
contradiction,2.5,0.2,0.0,0.0,0.0,2.1,0.1,0.0,0.0,0.0,0.1,0.0,0.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.2,2.3,0.0,0.0,0.0,0.3,0.0,0.1,0.2,0.9,0.0,0.0,6.2,0.2,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.6,0.1,0.0,0.0,0.2,0.0,0.9,0.1,0.1,0.1,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,1.1,0.3,0.2,0.0,0.9,0.0,0.8,1.3,0.0,4.1,0.0,0.1,0.0,0.7,0.0,0.0,0.6,0.2,0.0
crack,0.9,0.1,2.1,0.0,1.2,4.6,0.0,0.1,1.3,0.2,0.2,0.2,2.8,3.6,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.5,0.2,0.0,0.1,0.0,0.0,0.0,0.8,0.0,2.3,0.2,3.6,2.1,0.0,0.0,0.1,2.8,5.3,0.4,0.5,1.7,0.0,0.0,6.6,1.4,3.0,0.0,0.1,1.2,0.3,2.8,0.8,0.0,0.0,0.0,0.0,0.0,0.3,1.3,0.1,0.0,0.0,0.2,1.2,0.5,0.1,0.2,1.3,1.3,0.0,0.1,0.0,0.0,0.6,1.0,0.4,0.0,0.1,2.3,0.3,2.2,0.4,0.0,0.3,0.4,0.8,0.0,0.8,0.3,4.8,0.2,0.1,24.8,0.1,0.4,0.2,0.4,0.1,0.0,1.0,0.3,2.4
cub,0.0,0.0,0.0,0.0,1.1,7.0,0.0,0.0,0.0,1.1,0.0,0.0,0.1,7.3,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,2.6,0.2,0.0,0.0,0.0,1.1,1.9,0.4,1.1,1.5,0.0,0.0,0.6,4.4,0.0,0.0,0.0,1.2,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.2,2.2,0.0,0.1,0.0,2.5,0.4,0.1,15.2,0.0,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.0
